"name","file","start_line","end_line","scope"
"__init__","superset/commands/report/execute.py",1006,1011,"Class ReportScheduleStateMachine"
"__init__","superset/commands/report/execute.py",1039,1039,"Class AsyncExecuteReportScheduleCommand"
"__init__","superset/commands/explore/form_data/create.py",37,37,"Class CreateFormDataCommand"
"__init__","superset/commands/annotation_layer/update.py",39,39,"Class UpdateAnnotationLayerCommand"
"__init__","superset-extensions-cli/src/superset_extensions_cli/cli.py",280,280,"Class FrontendChangeHandler"
"__init__","superset/commands/theme/update.py",34,34,"Class UpdateThemeCommand"
"__init__","superset/mcp_service/auth.py",55,61,"Class MCPPermissionDeniedError"
"__init__","superset/commands/database/uploaders/columnar_reader.py",45,48,"Class ColumnarReader"
"__init__","tests/unit_tests/utils/test_screenshot_cache_fix.py",42,42,"Class MockCache"
"__init__","superset/commands/database/tables.py",43,49,"Class TablesDatabaseCommand"
"__init__","superset/commands/chart/exceptions.py",36,36,"Class TimeRangeAmbiguousError"
"__init__","superset/commands/chart/exceptions.py",49,49,"Class TimeRangeParseFailError"
"__init__","superset/commands/chart/exceptions.py",64,64,"Class TimeDeltaAmbiguousError"
"__init__","superset/commands/chart/exceptions.py",81,81,"Class DatabaseNotFoundValidationError"
"__init__","superset/commands/chart/exceptions.py",90,90,"Class DashboardsNotFoundValidationError"
"__init__","superset/commands/chart/exceptions.py",99,99,"Class DatasourceTypeUpdateRequiredValidationError"
"__init__","tests/example_data/data_loading/pandas/table_df_convertor.py",35,37,"Class TableToDfConvertorImpl"
"__init__","superset/async_events/cache_backend.py",29,43,"Class RedisCacheBackend"
"__init__","superset/async_events/cache_backend.py",160,175,"Class RedisSentinelCacheBackend"
"__init__","superset/utils/core.py",689,689,"Class SigalrmTimeout"
"__init__","superset/utils/core.py",724,724,"Class TimerTimeout"
"__init__","tests/unit_tests/dao/base_dao_test.py",37,37,"Class MockModel"
"__init__","superset/commands/temporary_cache/create.py",30,30,"Class CreateTemporaryCacheCommand"
"__init__","tests/integration_tests/dao/base_dao_test.py",836,836,"Class ActiveUsersFilter"
"__init__","superset/commands/chart/warm_up_cache.py",39,44,"Class ChartWarmUpCacheCommand"
"__init__","superset/commands/database/create.py",53,53,"Class CreateDatabaseCommand"
"__init__","superset/extensions/metastore_cache.py",42,47,"Class SupersetMetastoreCache"
"__init__","superset/commands/explore/permalink/create.py",40,40,"Class CreateExplorePermalinkCommand"
"__init__","superset/commands/streaming_export/base.py",71,71,"Class BaseStreamingCSVExportCommand"
"__init__","superset/commands/dashboard/importers/v0.py",326,328,"Class ImportDashboardsCommand"
"__init__","superset/viz.py",111,117,"Class BaseViz"
"__init__","superset/viz.py",1720,1722,"Class BaseDeckGLViz"
"__init__","tests/example_data/data_generator/birth_names/birth_names_generator.py",48,54,"Class BirthNamesGenerator"
"__init__","superset/commands/dataset/update.py",67,72,"Class UpdateDatasetCommand"
"__init__","superset/common/query_object_factory.py",44,48,"Class QueryObjectFactory"
"__init__","superset/commands/exceptions.py",38,43,"Class ObjectNotFoundError"
"__init__","superset/commands/exceptions.py",59,63,"Class CommandInvalidError"
"__init__","superset/commands/exceptions.py",111,111,"Class OwnersNotFoundValidationError"
"__init__","superset/commands/exceptions.py",118,118,"Class RolesNotFoundValidationError"
"__init__","superset/commands/exceptions.py",125,125,"Class DatasourceTypeInvalidError"
"__init__","superset/commands/exceptions.py",134,134,"Class DatasourceNotFoundValidationError"
"__init__","superset/commands/exceptions.py",141,141,"Class QueryNotFoundValidationError"
"__init__","superset/commands/exceptions.py",146,146,"Class TagNotFoundValidationError"
"__init__","superset/commands/exceptions.py",151,151,"Class TagForbiddenError"
"__init__","superset/mcp_service/utils/permissions_utils.py",270,270,"Class PermissionAwareSerializer"
"__init__","tests/unit_tests/datasource/utils/test_replace_verbose_with_column.py",24,24,"Class Column"
"__init__","tests/unit_tests/datasource/utils/test_replace_verbose_with_column.py",32,32,"Class IncompleteColumn"
"__init__","superset/utils/encrypt.py",65,65,"Class EncryptedFieldFactory"
"__init__","superset/utils/encrypt.py",93,93,"Class SecretsMigrator"
"__init__","superset/mcp_service/middleware.py",393,393,"Class InMemoryRateLimiter"
"__init__","superset/mcp_service/middleware.py",498,498,"Class RedisRateLimiter"
"__init__","superset/mcp_service/middleware.py",598,604,"Class RateLimitMiddleware"
"__init__","superset/mcp_service/middleware.py",867,872,"Class ResponseSizeGuardMiddleware"
"__init__","superset/commands/sql_lab/execute.py",69,80,"Class ExecuteSqlCommand"
"__init__","superset/commands/dataset/columns/delete.py",37,37,"Class DeleteDatasetColumnCommand"
"__init__","superset/reports/notifications/base.py",58,60,"Class BaseNotification"
"__init__","superset/mcp_service/screenshot/webdriver_pool.py",76,84,"Class WebDriverPool"
"__init__","superset/commands/dashboard/export_example.py",503,508,"Class ExportExampleCommand"
"__init__","superset/utils/profiler.py",37,41,"Class SupersetProfiler"
"__init__","superset/utils/url_map_converters.py",25,25,"Class RegexConverter"
"__init__","superset/commands/tasks/submit.py",56,56,"Class SubmitTaskCommand"
"__init__","superset/commands/security/create.py",34,34,"Class CreateRLSRuleCommand"
"__init__","superset/commands/annotation_layer/annotation/exceptions.py",33,33,"Class AnnotationDatesValidationError"
"__init__","superset/commands/annotation_layer/annotation/exceptions.py",44,44,"Class AnnotationUniquenessValidationError"
"__init__","superset/commands/annotation_layer/annotation/update.py",42,42,"Class UpdateAnnotationCommand"
"__init__","superset/utils/jinja_template_validator.py",32,32,"Class JinjaValidationError"
"__init__","superset/commands/dataset/importers/v0.py",228,233,"Class ImportDatasetsCommand"
"__init__","superset/common/query_context_processor.py",75,75,"Class QueryContextProcessor"
"__init__","superset/security/guest_token.py",82,82,"Class GuestUser"
"__init__","tests/example_data/data_loading/pandas/pands_data_loading_conf.py",39,48,"Class PandasLoaderConfigurations"
"__init__","superset/commands/explore/form_data/get.py",36,36,"Class GetFormDataCommand"
"__init__","superset/commands/theme/delete.py",37,37,"Class DeleteThemeCommand"
"__init__","superset/utils/json.py",39,39,"Class DashboardEncoder"
"__init__","superset/extensions/__init__.py",55,55,"Class ResultsBackendManager"
"__init__","superset/extensions/__init__.py",73,73,"Class UIManifestProcessor"
"__init__","superset/extensions/__init__.py",122,122,"Class ProfilingExtension"
"__init__","superset/extensions/utils.py",43,45,"Class InMemoryLoader"
"__init__","superset/extensions/utils.py",64,64,"Class InMemoryFinder"
"__init__","superset/common/query_context.py",62,74,"Class QueryContext"
"__init__","superset/commands/tasks/exceptions.py",84,84,"Class TaskPermissionDeniedError"
"__init__","superset/commands/database/oauth2.py",41,41,"Class OAuth2StoreTokenCommand"
"__init__","superset/commands/database/uploaders/excel_reader.py",49,52,"Class ExcelReader"
