"name","file","start_line","end_line"
"Table","superset/migrations/versions/2018-04-03_08-19_130915240929_is_sqllab_viz_flow.py",38,38
"Table","superset/migrations/versions/2020-04-29_09-24_620241d1153f_update_time_grain_sqla.py",55,55
"Table","tests/common/query_context_generator.py",238,238
"User","superset/migrations/versions/2018-07-26_11-10_c82ee8a39623_add_implicit_tags.py",92,92
"User","superset/migrations/versions/2016-06-27_08-43_27ae655e4247_make_creator_owners.py",40,40
"User","superset-core/src/superset_core/common/models.py",269,269
"AuditMixin","superset/migrations/versions/2016-06-27_08-43_27ae655e4247_make_creator_owners.py",64,64
"Dashboard","superset/migrations/versions/2020-08-12_00-24_978245563a02_migrate_iframe_to_dash_markdown.py",70,70
"Dashboard","superset/migrations/versions/2019-09-19_13-40_258b5280a45e_form_strip_leading_and_trailing_whitespace.py",69,69
"Dashboard","superset/migrations/versions/2020-02-07_14-13_3325d4caccc8_dashboard_scoped_filters.py",64,64
"Dashboard","superset/migrations/versions/2019-03-21_10-22_d94d33dbe938_form_strip.py",71,71
"Dashboard","superset/migrations/versions/2016-06-27_08-43_27ae655e4247_make_creator_owners.py",88,88
"Dashboard","superset/views/dashboard/views.py",71,71
"Dashboard","superset/migrations/versions/2018-08-01_11-47_7fcdcde0761c_.py",41,41
"Dashboard","superset/migrations/versions/2018-07-19_23-41_c617da68de7d_form_nullable.py",71,71
"Dashboard","superset/migrations/versions/2022-11-28_17-51_4ce1d9b25135_remove_filter_bar_orientation.py",39,39
"Dashboard","superset/migrations/versions/2021-04-29_15-32_f1410ed7ec95_migrate_native_filters_to_new_schema.py",42,42
"Dashboard","superset/migrations/versions/2024-01-18_15-20_214f580d09c9_migrate_filter_boxes_to_native_filters.py",49,49
"Dashboard","superset/migrations/versions/2021-08-31_11-37_021b81fe4fbb_add_type_to_native_filter_configuration.py",43,43
"Dashboard","superset-core/src/superset_core/common/models.py",243,243
"Dashboard","superset/migrations/versions/2021-03-24_09-47_989bbe479899_rename_filter_configuration_in_.py",39,39
"Dashboard","superset/migrations/versions/2018-11-12_13-31_4ce8df208545_migrate_time_range_for_default_filters.py",39,39
"Dashboard","superset/migrations/versions/2023-05-11_12-41_4ea966691069_cross_filter_global_scoping.py",44,44
"Dashboard","superset/migrations/versions/2019-04-09_16-27_80aa3f04bc82_add_parent_ids_in_dashboard_layout.py",41,41
"Dashboard","superset/migrations/versions/2018-07-22_11-59_bebcf3fed1fe_convert_dashboard_v1_positions.py",88,88
"Dashboard","superset/migrations/versions/2023-02-28_14-46_c0a3ea245b61_remove_show_native_filters.py",39,39
"Dashboard","superset/migrations/versions/2023-07-19_16-48_a23c6f8b1280_cleanup_erroneous_parent_filter_ids.py",42,42
"Dashboard","superset/models/dashboard.py",131,131
"Dashboard","superset/migrations/versions/2021-04-12_12-38_fc3a3a8ff221_migrate_filter_sets_to_new_format.py",42,42
"Dashboard","superset/migrations/versions/2018-02-13_08-07_e866bd2d4976_smaller_grid.py",38,38
"Database","superset/migrations/versions/2019-09-19_13-40_258b5280a45e_form_strip_leading_and_trailing_whitespace.py",81,81
"Database","superset/migrations/versions/2023-08-02_15-23_0769ef90fddd_fix_schema_perm_for_datasets.py",56,56
"Database","superset/migrations/versions/2018-06-13_10-20_4451805bbaa1_remove_double_percents.py",63,63
"Database","superset/migrations/versions/2021-08-02_16-39_e323605f370a_fix_schemas_allowed_for_csv_upload.py",44,44
"Database","superset/migrations/versions/2019-03-21_10-22_d94d33dbe938_form_strip.py",83,83
"Database","superset/migrations/versions/2018-07-19_23-41_c617da68de7d_form_nullable.py",83,83
"Database","superset/migrations/versions/2016-09-22_11-31_eca4694defa7_sqllab_setting_defaults.py",38,38
"Database","superset-core/src/superset_core/common/models.py",61,61
